                  user                                           modified                                            added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
255               nico                                         [5, 9, 10]                                               []             2.100000       17.980000            2.123775      20.391426               0.000000          0.689726
256               nico                                                [5]                                               []             0.880000       17.980000            0.409091      20.703251               0.000000          0.683066
257               nico                                    [9, 10, 11, 18]                                               []             2.360000       17.980000            3.762759      19.955447               0.000000          0.676800
258               nico                                             [5, 9]                                               []             1.520000       17.980000            1.240318      20.242711               0.000000          0.670882
259               nico                                           [22, 24]                                               []             1.260000       17.980000            1.955556      20.938948               0.000000          0.665271
260               nico                                               [23]                                               []             0.820000       17.980000            0.967742      20.025876               0.000000          0.659935
261               nico                                              [104]                                               []             0.080000       17.980000            0.000000      18.735335               0.003846          0.654843
262               nico                                                [5]                                               []             0.880000       18.000000            0.166667      12.117801               0.000000          0.646141
263               nico                                                [5]                                               []             0.880000       18.000000            0.083333      16.525161               0.000000          0.641485
264               nico                                            [5, 15]                                               []             1.620000       18.000000            1.000000      18.120791               0.000000          0.637009
265               nico                                            [5, 11]                                               []             1.620000       18.000000            1.100000      20.422498               0.000000          0.632698
266               nico                                                [5]                                               []             0.880000       18.000000            0.190476      21.461278               0.000000          0.628538
267               nico                                               [11]                                               []             0.740000       18.000000            0.928571      21.338114               0.000000          0.624516
268               nico                                                [9]                                               []             0.640000       18.000000            1.000000      21.236369               0.000000          0.620621
269               nico                                                [9]                                               []             0.640000       18.000000            0.951220      19.902213               0.000000          0.616844
270               nico                                                [9]                                               []             0.640000       18.000000            0.900000      19.441264               0.000000          0.613176
